,track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id.1,album_name,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_classical_prob,predicted_electronic_prob,predicted_jazz_prob,predicted_pop_prob,predicted_rap_prob,predicted_reggae_prob
44,4agPFCccTh7gIho2sNhsJp,"1 step forward, 3 steps back",1McMsnEElThX1knmY4oliG,Olivia Rodrigo,7bYichzvtYHdjF8HF69dyA,163586,2021-05-21,68,0.47200000000000003,0.20199999999999999,2,0.267481877425496,1,0.0995,0.938,0.0,0.126,0.445,0.8904737646459503,7bYichzvtYHdjF8HF69dyA,SOUR,2,jazz,0.6666666666666666,0.13333333333333333,0.06666666666666667,0.6666666666666666,0.06666666666666667,0.06666666666666667,0.0
4,1ZMiCix7XSAbfAJlEZWMCp,Falling,6KImCVD70vtIoJWnq6nGn3,Harry Styles,7xV2TzoaVc0ycW7fwBwAml,240133,2019-12-13,85,0.5670000000000001,0.267,4,0.716555612506407,1,0.0299,0.8390000000000001,1.46e-06,0.08900000000000001,0.0592,0.36306762831684425,7xV2TzoaVc0ycW7fwBwAml,Fine Line,2,jazz,0.6666666666666666,0.0,0.0,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.0
13,3Dwq1oiOFys6Sxr5SslmXw,Carolina,6KImCVD70vtIoJWnq6nGn3,Harry Styles,1FZKIm3JVDCxTchXDo5jOV,189613,2017-05-12,70,0.624,0.6729999999999999,4,0.8985135827780626,0,0.0268,0.0005690000000000001,1.54e-06,0.10400000000000001,0.45799999999999996,0.47009142826500805,1FZKIm3JVDCxTchXDo5jOV,Harry Styles,3,pop,0.6666666666666666,0.0,0.13333333333333333,0.0,0.6666666666666666,0.0,0.2
27,4YutJsNwBBInE8vemufpQ8,"Girl Crush - Recorded at Metropolis Studios, London",6KImCVD70vtIoJWnq6nGn3,Harry Styles,7neiWgd56IO7vi2cRUP8Tj,243804,2017-09-27,74,0.46799999999999997,0.19699999999999998,4,0.33396792853481727,1,0.033,0.6579999999999999,0.0,0.109,0.249,0.668731175876523,7neiWgd56IO7vi2cRUP8Tj,Spotify Singles,2,jazz,0.6,0.3333333333333333,0.0,0.6,0.06666666666666667,0.0,0.0
20,1IF5UcqRO42D12vYwceOY6,From the Dining Table,6KImCVD70vtIoJWnq6nGn3,Harry Styles,1FZKIm3JVDCxTchXDo5jOV,211960,2017-05-12,74,0.6709999999999999,0.156,8,0.0,1,0.0371,0.804,0.0518,0.113,0.201,0.2206879909912326,1FZKIm3JVDCxTchXDo5jOV,Harry Styles,2,jazz,0.6,0.4,0.0,0.6,0.0,0.0,0.0
26,1GDF5AusV7p0wwi4OVNz3i,"Two Ghosts - Recorded at Metropolis Studios, London",6KImCVD70vtIoJWnq6nGn3,Harry Styles,7neiWgd56IO7vi2cRUP8Tj,224255,2017-09-27,57,0.535,0.231,6,0.39986819945815333,0,0.0311,0.475,0.0,0.102,0.29100000000000004,0.5741123057261085,7neiWgd56IO7vi2cRUP8Tj,Spotify Singles,2,jazz,0.6,0.06666666666666667,0.13333333333333333,0.6,0.2,0.0,0.0
62,05ZA9WD25P4ynY41Bd15Km,All I Want - Love That Lasts Mix,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,2VcY9Ks3xBxPSSWESzhCYu,175388,2020-05-22,66,0.36200000000000004,0.44799999999999995,3,0.7445266163872006,1,0.0872,0.488,0.0,0.154,0.166,0.06528675228570657,2VcY9Ks3xBxPSSWESzhCYu,All I Want (Love That Lasts Mix),3,pop,0.6,0.0,0.0,0.3333333333333333,0.6,0.06666666666666667,0.0
19,33bURv895AN4FkBvgFo2dx,Woman,6KImCVD70vtIoJWnq6nGn3,Harry Styles,1FZKIm3JVDCxTchXDo5jOV,278800,2017-05-12,70,0.624,0.647,3,0.8499670498645384,0,0.0335,0.0169,0.0038,0.221,0.379,0.5955349402543549,1FZKIm3JVDCxTchXDo5jOV,Harry Styles,3,pop,0.6,0.0,0.4,0.0,0.6,0.0,0.0
66,7AH9yMA5yhJ54fGjONcsGc,"Get'cha Head in the Game - From ""High School Musical: The Musical: The Series""",1YWJ1WjMkBCB1X3QOJ1Wdn,Cast of High School Musical: The Musical: The Series,7x6n2jztq7Zlff5xVCfzqB,141146,2020-01-01,46,0.85,0.764,10,0.7115764809255327,0,0.0605,0.00045700000000000005,1.1400000000000001e-05,0.0991,0.361,0.38839584953213413,7x6n2jztq7Zlff5xVCfzqB,"Just for a Moment (From ""High School Musical: The Musical: The Series"")",5,reggae,0.6,0.0,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.6
10,6VzcQuzTNTMFnJ6rBSaLH9,Fine Line,6KImCVD70vtIoJWnq6nGn3,Harry Styles,7xV2TzoaVc0ycW7fwBwAml,377960,2019-12-13,77,0.306,0.34700000000000003,2,0.570257011056601,1,0.0334,0.172,0.00013000000000000002,0.0485,0.0511,0.46124353165133936,7xV2TzoaVc0ycW7fwBwAml,Fine Line,3,pop,0.6,0.13333333333333333,0.06666666666666667,0.2,0.6,0.0,0.0
6,6SQLk9HSNketfgs2AyIiMs,She,6KImCVD70vtIoJWnq6nGn3,Harry Styles,7xV2TzoaVc0ycW7fwBwAml,362653,2019-12-13,77,0.535,0.521,0,0.7575602255253715,1,0.0272,0.000532,0.371,0.19,0.457,0.6313197665585261,7xV2TzoaVc0ycW7fwBwAml,Fine Line,1,electronic,0.6,0.0,0.6,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.13333333333333333
75,4lssBDAmUk4e7rv2ajY6H6,Bizaardvark Theme Song,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,40YjPXmE1d3ajv2dcU2Bhx,55137,2016-10-07,56,0.688,0.6459999999999999,9,0.6489712235483635,1,0.14300000000000002,0.00938,0.0,0.24,0.746,0.6759793012842857,40YjPXmE1d3ajv2dcU2Bhx,Bizaardvark (Music from the TV Series),5,reggae,0.6,0.0,0.0,0.0,0.2,0.2,0.6
57,30UszgTxEuJVG5SUFyBffT,"Even When/The Best Part - From ""High School Musical: The Musical: The Series (Season 2)""",1McMsnEElThX1knmY4oliG,Olivia Rodrigo,2YLKW3LB4P1cEersm5YpAL,106880,2021-04-30,75,0.522,0.336,0,0.5646188767664934,1,0.0275,0.7140000000000001,0.0,0.109,0.5660000000000001,0.18999740819190114,2YLKW3LB4P1cEersm5YpAL,"Even When/The Best Part [From ""High School Musical: The Musical: The Series (Season 2)""]",2,jazz,0.5333333333333333,0.2,0.0,0.5333333333333333,0.2,0.06666666666666667,0.0
51,1QnqdRLbL6yxHFirIokIMg,hope ur ok,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,7bYichzvtYHdjF8HF69dyA,209560,2021-05-21,67,0.44299999999999995,0.298,0,0.30072490298015675,1,0.0644,0.38799999999999996,1e-05,0.10300000000000001,0.172,0.07030056036678556,7bYichzvtYHdjF8HF69dyA,SOUR,2,jazz,0.5333333333333333,0.13333333333333333,0.0,0.5333333333333333,0.2,0.13333333333333333,0.0
50,61W7tEpxEfmizp6V5ZRN10,favorite crime,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,7bYichzvtYHdjF8HF69dyA,152666,2021-05-21,69,0.369,0.272,9,0.42403163213004313,1,0.0364,0.866,0.0,0.147,0.218,0.9253827385580612,7bYichzvtYHdjF8HF69dyA,SOUR,2,jazz,0.5333333333333333,0.26666666666666666,0.0,0.5333333333333333,0.2,0.0,0.0
41,3fZVIxJjV4kXYynsz1G5lr,brutal,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,7bYichzvtYHdjF8HF69dyA,143746,2021-05-21,69,0.6709999999999999,0.5379999999999999,4,0.7213882990407849,1,0.0584,0.0329,1.26e-06,0.28,0.298,0.4876084761062106,7bYichzvtYHdjF8HF69dyA,SOUR,1,electronic,0.5333333333333333,0.0,0.5333333333333333,0.06666666666666667,0.0,0.3333333333333333,0.06666666666666667
64,6HGDoEWNbeIyUbJHelPEbZ,All I Want - Live at Vevo,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,3gCOecuQTwZ7valkVff49c,166000,2020-03-13,54,0.466,0.239,0,0.6729149886505089,0,0.0599,0.917,0.0,0.0862,0.24,0.8544029457239636,3gCOecuQTwZ7valkVff49c,All I Want (Live at Vevo),2,jazz,0.5333333333333333,0.0,0.0,0.5333333333333333,0.4666666666666667,0.0,0.0
0,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,6KImCVD70vtIoJWnq6nGn3,Harry Styles,7xV2TzoaVc0ycW7fwBwAml,174000,2019-12-13,90,0.5479999999999999,0.816,0,0.8844548583144176,1,0.0465,0.122,0.0,0.335,0.557,0.23239581378305685,7xV2TzoaVc0ycW7fwBwAml,Fine Line,3,pop,0.5333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.5333333333333333,0.13333333333333333,0.13333333333333333
39,5JCoSi02qi3jJeHdZXMmR8,favorite crime,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,6s84u2TUpR3wdUv4NgKA2j,152666,2021-05-21,91,0.369,0.272,9,0.42403163213004313,1,0.0364,0.866,0.0,0.147,0.218,0.9253827385580612,6s84u2TUpR3wdUv4NgKA2j,SOUR,2,jazz,0.5333333333333333,0.26666666666666666,0.0,0.5333333333333333,0.2,0.0,0.0
